ip1,ip2,port1,port2,total_num,total_len,flow_time,psh_rate,up_down_len_rate,up_down_num_rate,flow_pkts_rate,flow_bytes_rate,up_time_max,up_time_min,up_time_mean,down_time_max,down_time_min,down_time_mean,up_len_sum,up_len_max,up_len_min,up_len_mean,down_len_sum,down_len_max,down_len_min,down_len_mean,label
107.174.170.252,192.168.23.177,3333,43896,34,4676,14.75541306,0.5,0.33982808,1,2.30423912,316.9006508,3.434087038,0.162865162,0.922175243,3.435003996,0.162360907,0.922213316,1186,161,20,69.76470588,3490,644,20,205.2941176,1
107.174.170.252,192.168.23.177,3333,43896,18,3915,14.01711106,0.5,0.089315526,1,1.28414478,279.3014896,4.875916004,0.457597971,1.752128243,4.876279116,0.457226038,1.752133399,321,161,20,35.66666667,3594,577,20,399.3333333,1
192.168.23.177,107.174.170.252,43896,3333,44,4701,13.05786204,0.5,0.57118984,1,3.369617465,360.0129933,2.698900938,0.013466835,0.621802954,2.698908091,0.013084888,0.621785811,1709,161,20,77.68181818,2992,577,20,136,1
107.174.170.252,192.168.23.177,3333,43896,20,2288,14.94353008,0.5,0.501312336,1,1.33837185,153.1097396,7.252008915,0.029225111,1.660388231,7.252007008,0.029490948,1.660387675,764,161,20,76.4,1524,643,20,152.4,1
192.168.23.177,107.174.170.252,43896,3333,18,2072,11.93847895,0.5,0.410483322,1,1.50772976,173.556448,7.083934784,0.183012009,1.492309868,7.083935976,0.183665037,1.492261142,603,161,20,67,1469,577,20,163.2222222,1
107.174.170.252,192.168.23.177,3333,43896,6,1791,12.4307189,0.5,0.034662045,1,0.482675222,144.0785537,11.64100599,0.789672852,6.215339422,11.64099813,0.789685965,6.215342045,60,20,20,20,1731,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,10,2985,8.744668961,0.5,0.034662045,1,1.143553866,341.3508291,5.015147924,0.18939209,2.186157763,5.015146971,0.189394951,2.18615824,100,20,20,20,2885,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,12,1708,13.91969204,0.5,0.307810107,1,0.862088038,122.7038641,7.397691965,0.396394014,2.783931208,7.397693157,0.395999908,2.783928013,402,161,20,67,1306,577,20,217.6666667,1
192.168.23.177,107.174.170.252,43896,3333,12,1708,12.24170589,0.5,0.307810107,1,0.980255538,139.5230383,5.987483025,0.39549017,2.448341179,5.987898111,0.395048857,2.448256207,402,161,20,67,1306,577,20,217.6666667,1
107.174.170.252,192.168.23.177,3333,43896,10,2985,14.56698012,0.5,0.034662045,1,0.686484084,204.9154989,5.874593019,2.432169914,3.641736269,5.874603987,2.432170868,3.641736507,100,20,20,20,2885,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,8,1451,11.99688601,0.5,0.179674797,1,0.666839711,120.9480525,7.981479883,0.394290209,3.998941978,7.981862068,0.393923998,3.998949687,221,161,20,55.25,1230,577,20,307.5,1
192.168.23.177,107.174.170.252,43896,3333,16,1965,14.34283018,0.5,0.421852388,1,1.115539946,137.0022496,9.102102041,0.392739058,2.04897574,9.102118015,0.393143892,2.048818997,583,161,20,72.875,1382,577,20,172.75,1
